Aventura en Motocicleta de Criaturas Mágicas de Hagrid;35;5;5;Aventura
Harry Potter y el Viaje Prohibido;85;4;3;Aventura
Vuelo del Hipogrifo;32;3;11;Aventura
Expreso de Hogwarts: Estación de Hogsmeade;14;5;2;Aventura
Expreso de Hogwarts: Estación King's Cross;68;4;1;Aventura
Harry Potter y la Escapada de Gringotts;37;6;5;Aventura
Ve a una Varita Elegir a un Mago o una Bruja en Ollivanders;22;8;5;Experiencia
Haz Hechizos Con Tu Varita Interactiva;30;6;2;Experiencia
Conoce al Conductor del Hogwarts Express;12;7;12;Experiencia
Envía una Carta a través del Owl Post;20;9;1;Experiencia
Conoce al Chofer del Knight Bus;34;1;6;Experiencia
Cambia tu dinero Muggle en la casa de cambio de Gringotts;92;1;5;Experiencia
Echa un vistazo a Dark Magic en el Knockturn Alley;77;2;10;Experiencia
Obtén tu fotografía en movimiento en Shutterbutton's;44;3;1;Experiencia
Cerveza de Mantequilla;45;4;5;Gastronomia
Las Tres Escobas;46;5;9;Gastronomia
La Cabeza de Puerco;47;2;8;Gastronomia
El Caldero Chorreante;8;6;7;Gastronomia
Heladería de Florean Fortescue;88;4;6;Gastronomia
El Caldero Saltarín;45;8;5;Gastronomia
Fuente de la Fortuna Justa;20;7;4;Gastronomia
Elíxir Refrescante de Eternelle;25;9;3;Gastronomia
Carreta de Taxis de Londres;18;2;2;Gastronomia
Coro de Ranas de Hogwarts;50;1;1;Espectaculos
Reunión de Espíritus del Torneo de los Tres Magos;40;6;6;Espectaculos
Los Cuentos de Beedle el Bardo;20;4;4;Espectaculos
Celestina Warbeck y las Banshees;15;2;3;Espectaculos
