PackAventura;Porcentual;20;3
Aventura en Motocicleta de Criaturas Mágicas de Hagrid;;;
Harry Potter y el Viaje Prohibido;;;
Vuelo del Hipogrifo;;;
PackAventura;Absoluta;70;2
Expreso de Hogwarts: Estación de Hogsmeade;;;
Expreso de Hogwarts: Estación King's Cross;;;
PackAventura;AxB;3;3
Harry Potter y el Viaje Prohibido;;;
Expreso de Hogwarts: Estación de Hogsmeade;;;
Harry Potter y la Escapada de Gringotts;;;
PackExperiencia;Porcentual;15;1
Ve a una Varita Elegir a un Mago o una Bruja en Ollivanders;;;
PackExperiencia;Absoluta;50;3
Haz Hechizos Con Tu Varita Interactiva;;;
Conoce al Conductor del Hogwarts Express;;;
Envía una Carta a través del Owl Post;;;
PackExperiencia;AxB;6;8
Ve a una Varita Elegir a un Mago o una Bruja en Ollivanders;;;
Haz Hechizos Con Tu Varita Interactiva;;;
Conoce al Conductor del Hogwarts Express;;;
Envía una Carta a través del Owl Post;;;
Conoce al Chofer del Knight Bus;;;
Cambia tu dinero Muggle en la casa de cambio de Gringotts;;;
Echa un vistazo a Dark Magic en el Knockturn Alley;;;
Obtén tu fotografía en movimiento en Shutterbutton's;;;
PackGastronomia;Porcentual;30;2
Cerveza de Mantequilla;;;
Las Tres Escobas;;;
PackGastronomia;Absoluta;50;3
Fuente de la Fortuna Justa;;;
Elíxir Refrescante de Eternelle;;;
Carreta de Taxis de Londres;;;
PackEspectaculos;Porcentual;10;2
Coro de Ranas de Hogwarts;;;
Reunión de Espíritus del Torneo de los Tres Magos;;;
PackEspectaculos;Absoluta;90;3
Coro de Ranas de Hogwarts;;;
Reunión de Espíritus del Torneo de los Tres Magos;;;
Los Cuentos de Beedle el Bardo;;;
PackEspectaculos;AxB;3;3
Coro de Ranas de Hogwarts;;;
Reunión de Espíritus del Torneo de los Tres Magos;;;
Celestina Warbeck y las Banshees;;;
